"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 5070 Ti Laptop GPU"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.peak_sustained_elapsed.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the avg peak sustained rate achieved during elapsed cycles per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.per_cycle_active","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the avg of the number of operations per unit active cycle across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.per_cycle_elapsed","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the avg of the number of operations per elapsed cycle across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the avg of the number of operations per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max","Counter","sector","# of sectors requested for global loads (This counter metric represents the max across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.pct_of_peak_sustained_active","Counter","%","# of sectors requested for global loads (This counter metric represents the max percent of the peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.pct_of_peak_sustained_elapsed","Counter","%","# of sectors requested for global loads (This counter metric represents the max percent of the peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.peak_sustained","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the max peak sustained rate across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.peak_sustained_active","Counter","sector","# of sectors requested for global loads (This counter metric represents the max peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.peak_sustained_active.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the max peak sustained rate achieved during unit active cycles per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.peak_sustained_elapsed","Counter","sector","# of sectors requested for global loads (This counter metric represents the max peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.peak_sustained_elapsed.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the max peak sustained rate achieved during elapsed cycles per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.per_cycle_active","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the max of the number of operations per unit active cycle across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.per_cycle_elapsed","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the max of the number of operations per elapsed cycle across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.max.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the max of the number of operations per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min","Counter","sector","# of sectors requested for global loads (This counter metric represents the min across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.pct_of_peak_sustained_active","Counter","%","# of sectors requested for global loads (This counter metric represents the min percent of the peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.pct_of_peak_sustained_elapsed","Counter","%","# of sectors requested for global loads (This counter metric represents the min percent of the peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.peak_sustained","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the min peak sustained rate across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.peak_sustained_active","Counter","sector","# of sectors requested for global loads (This counter metric represents the min peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.peak_sustained_active.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the min peak sustained rate achieved during unit active cycles per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.peak_sustained_elapsed","Counter","sector","# of sectors requested for global loads (This counter metric represents the min peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.peak_sustained_elapsed.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the min peak sustained rate achieved during elapsed cycles per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.per_cycle_active","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the min of the number of operations per unit active cycle across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.per_cycle_elapsed","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the min of the number of operations per elapsed cycle across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.min.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the min of the number of operations per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","Counter","sector","# of sectors requested for global loads (This counter metric represents the sum across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_active","Counter","%","# of sectors requested for global loads (This counter metric represents the sum percent of the peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed","Counter","%","# of sectors requested for global loads (This counter metric represents the sum percent of the peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.peak_sustained","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the sum peak sustained rate across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.peak_sustained_active","Counter","sector","# of sectors requested for global loads (This counter metric represents the sum peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.peak_sustained_active.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the sum peak sustained rate achieved during unit active cycles per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.peak_sustained_elapsed","Counter","sector","# of sectors requested for global loads (This counter metric represents the sum peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.peak_sustained_elapsed.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the sum peak sustained rate achieved during elapsed cycles per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.per_cycle_active","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the sum of the number of operations per unit active cycle across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.per_cycle_elapsed","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the sum of the number of operations per elapsed cycle across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the sum of the number of operations per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.avg","Counter","sector","# of sector requests to T-Stage that missed for global loads (This counter metric represents the avg across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.avg.pct_of_peak_sustained_active","Counter","%","# of sector requests to T-Stage that missed for global loads (This counter metric represents the avg percent of the peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.avg.pct_of_peak_sustained_elapsed","Counter","%","# of sector requests to T-Stage that missed for global loads (This counter metric represents the avg percent of the peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.avg.peak_sustained","Counter","sector/cycle","# of sector requests to T-Stage that missed for global loads (This counter metric represents the avg peak sustained rate across all sub-unit instances)","1"
