object,requested_seconds,sample_seconds,sample_offset_seconds,position_error_m
G05,900.0,900.0,0.0,0.47417449580428256
G05,3600.0,3600.0,0.0,0.6552979257075414
G05,21600.0,21600.0,0.0,0.27153051642499965
G05,86400.0,86400.0,0.0,0.7128239148392012
G05,259200.0,259200.0,0.0,2.228217159032648
G05,604800.0,604800.0,0.0,12.531258656836025
C03,900.0,900.0,0.0,1.367501468469248
C03,3600.0,3600.0,0.0,1.7024594443626018
C03,21600.0,21600.0,0.0,4.350051079916787
C03,86400.0,86400.0,0.0,4.171826624258138
C03,259200.0,259200.0,0.0,17.93912257110626
C03,604800.0,604800.0,0.0,73.48084646904019
C06,900.0,900.0,0.0,0.5467425809679891
C06,3600.0,3600.0,0.0,0.6091402268307639
C06,21600.0,21600.0,0.0,0.6147268834399072
C06,86400.0,86400.0,0.0,1.1723338290572496
C06,259200.0,259200.0,0.0,2.335349489586732
C06,604800.0,604800.0,0.0,2.3596760076178005
CHANDRA,900.0,848.8160572052002,-51.183942794799805,0.002923846991147711
CHANDRA,3600.0,3548.816056251526,-51.18394374847412,0.007876820046553363
CHANDRA,21600.0,21548.81605029106,-51.1839497089386,0.07375458659411713
CHANDRA,86400.0,86348.81602859497,-51.1839714050293,2.0516062512454543
CHANDRA,259200.0,259148.81597065926,-51.18402934074402,28.33807483541711
CHANDRA,604800.0,604748.8158562183,-51.18414378166199,3680.2474519519255
