object,requested_seconds,sample_seconds,sample_offset_seconds,position_error_m
G05,900.0,900.0,0.0,21.742452669430822
G05,3600.0,3600.0,0.0,32.98045648195486
G05,21600.0,21600.0,0.0,114.99216052104093
G05,86400.0,86400.0,0.0,285.33028943154795
G05,259200.0,259200.0,0.0,1614.4130573355758
G05,604800.0,604800.0,0.0,7402.9597069978545
C03,900.0,900.0,0.0,0.5076106824387339
C03,3600.0,3600.0,0.0,0.8785695728763521
C03,21600.0,21600.0,0.0,5.900783892315065
C03,86400.0,86400.0,0.0,18.439780568151694
C03,259200.0,259200.0,0.0,111.13228141768023
C03,604800.0,604800.0,0.0,526.3087458839053
C06,900.0,900.0,0.0,1.260443134175529
C06,3600.0,3600.0,0.0,1.5380839486595008
C06,21600.0,21600.0,0.0,4.8766839052359625
C06,86400.0,86400.0,0.0,44.68437010031101
C06,259200.0,259200.0,0.0,267.05617182675365
C06,604800.0,604800.0,0.0,1234.6112913886484
CHANDRA,900.0,848.8160572052002,-51.183942794799805,0.002047615135334206
CHANDRA,3600.0,3548.816056251526,-51.18394374847412,0.008470509549273716
CHANDRA,21600.0,21548.81605029106,-51.1839497089386,0.07694858368688462
CHANDRA,86400.0,86348.81602859497,-51.1839714050293,76.50633887375226
CHANDRA,259200.0,259148.81597065926,-51.18402934074402,987.1289018451318
CHANDRA,604800.0,604748.8158562183,-51.18414378166199,2662.6420364092132
